Make,AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,daysDiff,FraudFound
Honda,Urban,Male,Married,60,Third Party,Sedan,"more than 69,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Ford,Urban,Male,Married,33,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,18,No
Ford,Urban,Male,Married,27,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,69,No
Honda,Urban,Female,Married,47,Third Party,Sport,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,4,No
Honda,Rural,Female,Single,29,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,4,No
Honda,Urban,Female,Married,33,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,6,No
Mercury,Urban,Male,Married,38,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,37,Third Party,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,8,No
Ford,Urban,Male,Married,36,Third Party,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,more than 1,All Perils,125,No
Honda,Urban,Female,Married,44,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,66,No
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,2,more than 30,more than 30,more than 4,less than 4 years,No,No,External,none,4 to 8 years,more than 1,Liability,26,No
Ford,Rural,Male,Married,27,Policy Holder,Utility,"more than 69,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,84,No
Honda,Urban,Male,Single,27,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,1,No
Honda,Urban,Male,Single,39,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,more than 5,no change,1 vehicle,All Perils,0,No
Mercury,Urban,Male,Married,74,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,0,No
Honda,Urban,Male,Single,23,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Urban,Female,Single,25,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Mercury,Urban,Male,Single,38,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,3 to 5,0 to 3 years,1 vehicle,Liability,0,No
Honda,Urban,Male,Married,41,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,11,No
Mercury,Urban,Male,Married,38,Policy Holder,Sedan,"20,000 to 39,000",700,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,2,No
Honda,Urban,Male,Single,34,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,64,Yes
Honda,Urban,Male,Married,61,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,2,No
Honda,Urban,Male,Married,38,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,46,Yes
Honda,Urban,Male,Single,40,Policy Holder,Sedan,"less than 20,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,4,No
Mercury,Urban,Male,Married,41,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,65,No
Mercury,Urban,Male,Married,36,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,3,No
Ford,Urban,Male,Married,31,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,50,Yes
Mercury,Urban,Female,Married,35,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,0,No
Ford,Urban,Female,Married,37,Policy Holder,Sedan,"more than 69,000",500,2,more than 30,more than 30,2 to 4,4 to 6 years,Yes,No,External,3 to 5,no change,1 vehicle,All Perils,10,No
Honda,Urban,Male,Married,55,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,5,No
Mercury,Urban,Male,Single,31,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,2,No
Ford,Urban,Male,Married,28,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,4 to 8 years,more than 1,Liability,1,No
Honda,Urban,Male,Married,28,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,3,No
Mercury,Urban,Male,Married,44,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,130,No
Ford,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,All Perils,140,No
Honda,Urban,Male,Married,40,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,1,No
Honda,Urban,Male,Single,23,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,122,No
Mercury,Urban,Male,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,3,No
Honda,Urban,Male,Married,35,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,35,No
Honda,Rural,Male,Married,56,Policy Holder,Utility,"more than 69,000",400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,40,Yes
Ford,Urban,Male,Married,50,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,9,No
Honda,Urban,Male,Single,16,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,3 to 5,no change,1 vehicle,Collision,29,No
Mercury,Urban,Male,Married,32,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,Yes,External,more than 5,no change,1 vehicle,Collision,0,No
Mercury,Urban,Male,Single,28,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,22,No
Honda,Urban,Male,Single,68,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,2,Yes
Honda,Rural,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,14,Yes
Honda,Rural,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,42,No
Honda,Rural,Female,Married,18,Third Party,Sport,"more than 69,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,1 to 2,no change,1 vehicle,Collision,5,No
Mercury,Urban,Male,Single,30,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,51,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,more than 1,Collision,0,No
Honda,Urban,Male,Single,22,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,0,No
Mercury,Urban,Female,Married,26,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,0,No
Ford,Urban,Male,Married,53,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,more than 7,Yes,No,External,none,4 to 8 years,more than 1,Collision,37,No
Honda,Urban,Male,Married,38,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,2,No
Ford,Rural,Male,Married,27,Third Party,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,Yes,External,none,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,29,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,1,No
Mercury,Urban,Male,Single,32,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Single,18,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,more than 5,no change,1 vehicle,Collision,1,No
Mercury,Urban,Male,Married,60,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,Collision,7,No
Ford,Urban,Male,Married,53,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Single,29,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,10,No
Mercury,Urban,Male,Married,29,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,41,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,15,No
Honda,Urban,Male,Married,29,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,9,No
Mercury,Urban,Male,Married,42,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,8,No
Honda,Urban,Male,Married,34,Policy Holder,Sedan,"less than 20,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,98,No
Honda,Urban,Male,Married,51,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,1,No
Mercury,Urban,Male,Married,32,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,8,No
Ford,Urban,Male,Married,52,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,Internal,3 to 5,no change,more than 1,Liability,4,No
Honda,Urban,Male,Married,61,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,Collision,1,No
Honda,Rural,Male,Single,25,Third Party,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,9,No
Honda,Urban,Male,Married,41,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,1,No
Honda,Urban,Male,Single,33,Third Party,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Rural,Male,Married,39,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,0 to 3 years,more than 1,All Perils,169,Yes
Honda,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,9,No
Honda,Urban,Male,Widow,50,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,0,No
